occupation_d,barrera más significativa para realizar tu trabajo de forma remota,barrera menos significativa para realizar tu trabajo de forma remota,mejor aspecto del trabajo remoto para ti,peor aspecto del trabajo remoto para ti
"Profesionales de Negocios, Recursos Humanos y Marketing",Mi situación de vida,Tengo tareas que no se pueden realizar de forma remota,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Responsabilidades de cuidado,Ciberseguridad,Mis relaciones laborales,Preparación para el trabajo y el desplazamiento
Asistentes Personales y Secretarias,Sentirse excluido y/o aislado,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Mi espacio de trabajo,Gestionar mis responsabilidades familiares,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Equipos de IT ,Gestionar mis compromisos personales,Mis oportunidades de socializar
Profesionales de la Educación,Falta de motivación,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis gastos diarios
Otros Clericales y Administrativos,Equipos de IT ,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
Gerentes de Oficina y Administradores de Programas,Equipos de IT ,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Gestionar mis responsabilidades familiares
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Falta de motivación,Responsabilidades de cuidado,Mi bienestar mental,Mi equilibrio entre el trabajo y la vida personal
"Profesionales Legales, Sociales y de Bienestar",Ciberseguridad,Falta de motivación,Mis gastos diarios,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Mi situación de vida,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,Mis relaciones personales
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Asistentes Personales y Secretarias,Dificultad para colaborar de forma remota,Tengo tareas que no se pueden realizar de forma remota,Gestionar mis compromisos personales,Mi equilibrio entre el trabajo y la vida personal
"Profesionales de Negocios, Recursos Humanos y Marketing",Dificultad para colaborar de forma remota,La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,Mi satisfacción laboral
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,Equipos de IT ,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Conectividad (conexión a internet),Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Profesionales de Tecnologías de la Información y Comunicación,Dificultad para colaborar de forma remota,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de la Educación,Equipos de IT ,Sentirse excluido y/o aislado,Mis oportunidades de socializar,Mis gastos diarios
Profesionales de la Educación,Sentirse excluido y/o aislado,Equipos de IT ,Mis oportunidades de aprendizaje en el trabajo,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Falta de motivación,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis gastos diarios
Apoyo de Salud y Bienestar,Falta de motivación,Mi situación de vida,Mi bienestar mental,Mis gastos diarios
Operadores de Equipos Móviles,Tengo tareas que no se pueden realizar de forma remota,Falta de motivación,La cantidad de horas que trabajo,Gestionar mis responsabilidades familiares
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Sentirse excluido y/o aislado,Responsabilidades de cuidado,Mis relaciones laborales,Mi equilibrio entre el trabajo y la vida personal
Agricultores y Gerentes de Granjas,Conectividad (conexión a internet),Gestión deficiente,Gestionar mis responsabilidades familiares,Preparación para el trabajo y el desplazamiento
Operadores de Máquinas y Plantas Estacionarias,Conectividad (conexión a internet),Sentirse excluido y/o aislado,Gestionar mis compromisos personales,Mi equilibrio entre el trabajo y la vida personal
Profesionales de las Artes y los Medios,Conectividad (conexión a internet),Mi situación de vida,Mis relaciones personales,Mis gastos diarios
Gerentes Especialistas,Responsabilidades de cuidado,El software y los sistemas de mi organización,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Gerentes Especialistas,Falta de motivación,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Preparación para el trabajo y el desplazamiento
"Profesionales Legales, Sociales y de Bienestar",Tengo tareas que no se pueden realizar de forma remota,Sentirse excluido y/o aislado,Gestionar mis responsabilidades familiares,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Mi situación de vida,Tengo tareas que no se pueden realizar de forma remota,Mis relaciones personales,Mi satisfacción laboral
Profesionales de la Salud,Equipos de IT ,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Ciberseguridad,Sentirse excluido y/o aislado,Mis oportunidades de aprendizaje en el trabajo,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Dificultad para colaborar de forma remota,Ciberseguridad,Gestionar mis responsabilidades familiares,La cantidad de horas que trabajo
Soporte de Ventas,Dificultad para colaborar de forma remota,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Preparación para el trabajo y el desplazamiento
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Conectividad (conexión a internet),Gestión deficiente,La cantidad de horas que trabajo,Preparación para el trabajo y el desplazamiento
Profesionales de Tecnologías de la Información y Comunicación,Equipos de IT ,Tengo tareas que no se pueden realizar de forma remota,Preparación para el trabajo y el desplazamiento,Gestionar mis responsabilidades familiares
Profesionales de la Educación,Conectividad (conexión a internet),Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,Gestionar mis responsabilidades familiares
Gerentes Especialistas,Gestión deficiente,Falta de motivación,Mi bienestar mental,Preparación para el trabajo y el desplazamiento
"Profesionales Legales, Sociales y de Bienestar",Dificultad para colaborar de forma remota,Mi espacio de trabajo,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Gerentes Especialistas,Mi situación de vida,Falta de motivación,Gestionar mis responsabilidades familiares,Mi equilibrio entre el trabajo y la vida personal
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",La dirección desalienta el trabajo remoto,La dirección desalienta el trabajo remoto,La cantidad de horas que trabajo,Mi bienestar mental
Gerentes Especialistas,Ciberseguridad,Sentirse excluido y/o aislado,La cantidad de horas que trabajo,Preparación para el trabajo y el desplazamiento
Apoyo Clerical y de Oficina,Sentirse excluido y/o aislado,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Gestionar mis responsabilidades familiares
Clerical General,Conectividad (conexión a internet),Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones personales
Apoyo Clerical y de Oficina,La dirección desalienta el trabajo remoto,Sentirse excluido y/o aislado,Gestionar mis responsabilidades familiares,Mis relaciones laborales
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Responsabilidades de cuidado,Sentirse excluido y/o aislado,Gestionar mis responsabilidades familiares,Preparación para el trabajo y el desplazamiento
Profesionales de la Educación,Equipos de IT ,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mi satisfacción laboral
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Responsabilidades de cuidado,El software y los sistemas de mi organización,Preparación para el trabajo y el desplazamiento,Mis gastos diarios
Profesionales de Tecnologías de la Información y Comunicación,Conectividad (conexión a internet),Falta de motivación,Mi bienestar mental,Mis gastos diarios
,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,Gestión deficiente,Mis gastos diarios,La cantidad de horas que trabajo
Clerical General,Falta de motivación,Gestión deficiente,Mi satisfacción laboral,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Mi espacio de trabajo,Gestión deficiente,Mis relaciones personales,Mis oportunidades de socializar
Gerentes Especialistas,Ciberseguridad,Gestión deficiente,Mis relaciones laborales,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Gestión deficiente,Mis relaciones laborales,La cantidad de horas que trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Mi espacio de trabajo,Sentirse excluido y/o aislado,Mis relaciones laborales,Gestionar mis responsabilidades familiares
"Profesionales de Negocios, Recursos Humanos y Marketing",Falta de habilidades para trabajar de forma remota,Mi situación de vida,Gestionar mis compromisos personales,Mi satisfacción laboral
Asistentes y Vendedores,Gestión deficiente,Responsabilidades de cuidado,Gestionar mis compromisos personales,Mi bienestar mental
Clerical General,La dirección desalienta el trabajo remoto,Sentirse excluido y/o aislado,Mi satisfacción laboral,Gestionar mis compromisos personales
Asistentes Personales y Secretarias,Conectividad (conexión a internet),Falta de motivación,Mi bienestar mental,Mis oportunidades de aprendizaje en el trabajo
Clerical General,Gestión deficiente,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Gerentes Especialistas,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Gestionar mis responsabilidades familiares
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Falta de motivación,Gestionar mis responsabilidades familiares,Mis relaciones personales
Profesionales de la Educación,Falta de motivación,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Gerentes Especialistas,Conectividad (conexión a internet),Sentirse excluido y/o aislado,Mis gastos diarios,La cantidad de horas que trabajo
"Profesionales Legales, Sociales y de Bienestar",Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",El software y los sistemas de mi organización,Gestión deficiente,Mis gastos diarios,Gestionar mis compromisos personales
Gerentes Especialistas,Equipos de IT ,Ciberseguridad,Mi equilibrio entre el trabajo y la vida personal,Mis gastos diarios
Otros Clericales y Administrativos,Gestión deficiente,Responsabilidades de cuidado,Mis gastos diarios,Gestionar mis responsabilidades familiares
Gerentes de Oficina y Administradores de Programas,Conectividad (conexión a internet),Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Responsabilidades de cuidado,Responsabilidades de cuidado,Mis relaciones laborales,Preparación para el trabajo y el desplazamiento
"Profesionales de Negocios, Recursos Humanos y Marketing",Responsabilidades de cuidado,Conectividad (conexión a internet),Mi bienestar mental,Mis oportunidades de socializar
Gerentes Especialistas,Equipos de IT ,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,Mi equilibrio entre el trabajo y la vida personal
